-711575185	-945445364	-47756108	-529250387	-551639038
-722146428	-281866347	-971140419	-746563205	-91276196
-128520092	-671778252	-217182577	-396140746	-888326774
-328402737	-933423373	-33760101	-920424757	-510861475
-16621788	-977619502	-459842893	-944646215	-46890125
-314480816	-47677356	-384392747	-471373357	-612860232
-53050701	-287463298	-551957391	-301332272	-635532360
-823360925	-477492153	-564102610	-667207640	-176157009
-823037013	-255789679	-998424376	-595147180	-67628037
-808921920	-427267562	-833574397	-627842674	-507119419
-719975589	-412495171	-576058245	-440385116	-255175747
-281173491	-949811998	-31249490	-861476180	-686589933
-232922632	-322463875	-866201262	-984835227	-248052611
-542905626	-619747339	-450641460	-519269837	-179118018
-168764534	-334799353	-607175183	-835011598	-71016606
-970944454	-803823422	-665550772	-510605716	-915089049
-297808635	-344550534	-342915715	-705138736	-944565178
-424605581	-504325098	-862094250	-48944541	-109232227
-657763526	-879567883	-654303564	-949167008	-531933533
-931942532	-687560583	-459613169	-954293124	-6352495
-489138608	-746747830	-316045602	-433037565	-626730986
-845361704	-772314985	-219126539	-972068388	-924703261
-976020749	-405796153	-344722565	-668665268	-227341258
-844553276	-44471723	-843654640	-517788616	-961449196
-598655633	-154528742	-927616027	-106756043	-634069127
-502209253	-613662467	-868707648	-504659504	-141714109
-978766023	-452844650	-891070107	-293418553	-318830020
-630852895	-945738590	-256264623	-757854038	-945590318
-63532695	-501523960	-716066075	-387149435	-937685737
-712527553	-752791612	-373731482	-451654113	-712568509
-677055283	-210241507	-368596965	-61185885	-555426104
-195786520	-82548105	-262084922	-227289847	-626224350
-504561149	-555758280	-881518182	-397030170	-512680966
-719126998	-686916191	-291992005	-361715131	-119876712
-717574858	-181280662	-312762793	-68017719	-131602348
-506340402	-326703121	-399922375	-93930451	-748316583
-21661136	-351017909	-280524138	-842266216	-547700334
-129932521	-803121262	-281928623	-469243318	-383100976
-641589617	-795963654	-407071290	-903310651	-663904896
-958760581	-670409882	-944572603	-804052111	-545250572
